,10,10,10,tweet_id,text,created_at,user_id,user_name,user_description,followers_count,verified,cause
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,down broken block slow
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,accident
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,conges full
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,conges
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,conges
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,conges full
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,conges full
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,conges full
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,conges
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,conges
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,delay
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,accident
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,conges full
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,conges
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,stop queu accident
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,collision delay
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,collision delay
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,collision delay
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,broken down clos
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,broken down clos
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,broken down clos
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,breakdown clos slow
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,broken down
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,breakdown
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,down clos broken
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,down clos broken
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,down clos broken
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,slow
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,conges
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,conges full
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,conges full
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,conges full
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,conges full
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,slow
0,25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,slow
