,10,10,10,tweet_id,text,created_at,user_id,user_name,user_description,followers_count,verified,cause
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,flood
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,conges
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,flood
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,flood full
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,flood full
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,flood
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,flood
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,conges
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,conges full
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,conges
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,conges
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,conges
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,conges
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,conges
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,conges
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,collision
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,collision
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,collision
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,collision
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,full
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,flood full
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,flood full
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,flood
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,flood
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,flood
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,flood
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,conges
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,flood
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,conges
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,conges full
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,conges full
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,conges full
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,flood clos
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,flood clos
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,flood clos
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,flood
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,flood
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,clos accident
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,full
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,full
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,accident block overturn
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,accident block overturn
0,21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,accident block overturn
